angle_deg,angle_folder,mass_g,pretension_N,file,file_path,velocity_mps,peak_accel_mps2,dt_s
135.0,135 deg soliton data,100.0,0.9810000000000001,100g_20260429-180259.h5,135 deg soliton data\100g_20260429-180259.h5,91.71405946296163,1563.4369624310727,2e-07
135.0,135 deg soliton data,100.0,0.9810000000000001,100g_20260429-180303.h5,135 deg soliton data\100g_20260429-180303.h5,90.30337397221433,1760.4947226923075,2e-07
135.0,135 deg soliton data,120.0,1.1772,120g_20260429-180339.h5,135 deg soliton data\120g_20260429-180339.h5,90.04169906000423,1702.9384661391193,2e-07
135.0,135 deg soliton data,120.0,1.1772,120g_20260429-180343.h5,135 deg soliton data\120g_20260429-180343.h5,92.33891425672246,1666.8813994691784,2e-07
135.0,135 deg soliton data,120.0,1.1772,120g_20260429-180347.h5,135 deg soliton data\120g_20260429-180347.h5,88.20271392965937,1689.1956334662755,2e-07
135.0,135 deg soliton data,120.0,1.1772,120g_20260429-180351.h5,135 deg soliton data\120g_20260429-180351.h5,90.76660017098888,1664.6552736568576,2e-07
135.0,135 deg soliton data,120.0,1.1772,120g_20260429-180353.h5,135 deg soliton data\120g_20260429-180353.h5,88.74338255781554,1755.4519270789428,2e-07
135.0,135 deg soliton data,120.0,1.1772,120g_20260429-180358.h5,135 deg soliton data\120g_20260429-180358.h5,91.18889127478347,1664.7431981433913,2e-07
135.0,135 deg soliton data,120.0,1.1772,120g_20260429-180402.h5,135 deg soliton data\120g_20260429-180402.h5,89.56063268892794,1715.5863939450933,2e-07
135.0,135 deg soliton data,120.0,1.1772,120g_20260429-180409.h5,135 deg soliton data\120g_20260429-180409.h5,90.29697356297399,1740.1366519165617,2e-07
135.0,135 deg soliton data,120.0,1.1772,120g_20260429-180413.h5,135 deg soliton data\120g_20260429-180413.h5,90.68261086198305,1755.1712099000947,2e-07
135.0,135 deg soliton data,120.0,1.1772,120g_20260429-180417.h5,135 deg soliton data\120g_20260429-180417.h5,89.54804245448794,1740.2296606343893,2e-07
135.0,135 deg soliton data,200.0,1.9620000000000002,200g_20260429-180703.h5,135 deg soliton data\200g_20260429-180703.h5,91.17583911829956,1463.5792716866124,2e-07
135.0,135 deg soliton data,200.0,1.9620000000000002,200g_20260429-180706.h5,135 deg soliton data\200g_20260429-180706.h5,93.01985981308411,1729.1879147645627,2e-07
135.0,135 deg soliton data,200.0,1.9620000000000002,200g_20260429-180709.h5,135 deg soliton data\200g_20260429-180709.h5,94.90464839094159,1783.8659982327486,2e-07
135.0,135 deg soliton data,200.0,1.9620000000000002,200g_20260429-180712.h5,135 deg soliton data\200g_20260429-180712.h5,93.07422559906487,1685.8085892480417,2e-07
135.0,135 deg soliton data,200.0,1.9620000000000002,200g_20260429-180715.h5,135 deg soliton data\200g_20260429-180715.h5,88.89198995255371,1784.1710092964745,2e-07
135.0,135 deg soliton data,200.0,1.9620000000000002,200g_20260429-180718.h5,135 deg soliton data\200g_20260429-180718.h5,91.95236376759291,1712.6616956956643,2e-07
135.0,135 deg soliton data,200.0,1.9620000000000002,200g_20260429-180723.h5,135 deg soliton data\200g_20260429-180723.h5,94.37037037037037,1758.9297456905308,2e-07
135.0,135 deg soliton data,200.0,1.9620000000000002,200g_20260429-180726.h5,135 deg soliton data\200g_20260429-180726.h5,91.02600743069448,1661.855579349958,2e-07
135.0,135 deg soliton data,200.0,1.9620000000000002,200g_20260429-180730.h5,135 deg soliton data\200g_20260429-180730.h5,95.64564564564564,1743.2975882748194,2e-07
135.0,135 deg soliton data,200.0,1.9620000000000002,200g_20260429-180734.h5,135 deg soliton data\200g_20260429-180734.h5,91.4375942008182,1565.253151067099,2e-07
135.0,135 deg soliton data,60.0,0.5886,60g_20260429-175648.h5,135 deg soliton data\60g_20260429-175648.h5,92.28540383918869,1659.9611310730968,2e-07
135.0,135 deg soliton data,60.0,0.5886,60g_20260429-175656.h5,135 deg soliton data\60g_20260429-175656.h5,92.61413201512066,1341.9344275940807,2e-07
135.0,135 deg soliton data,60.0,0.5886,60g_20260429-175704.h5,135 deg soliton data\60g_20260429-175704.h5,92.58720930232558,1549.628294759814,2e-07
135.0,135 deg soliton data,60.0,0.5886,60g_20260429-175708.h5,135 deg soliton data\60g_20260429-175708.h5,94.04296154130066,1503.481527784439,2e-07
135.0,135 deg soliton data,60.0,0.5886,60g_20260429-175713.h5,135 deg soliton data\60g_20260429-175713.h5,90.83131327534578,1572.684162275138,2e-07
135.0,135 deg soliton data,60.0,0.5886,60g_20260429-175718.h5,135 deg soliton data\60g_20260429-175718.h5,92.13190627711887,1629.9925086951075,2e-07
135.0,135 deg soliton data,60.0,0.5886,60g_20260429-175722.h5,135 deg soliton data\60g_20260429-175722.h5,94.69302809573361,1567.5552956667477,2e-07
135.0,135 deg soliton data,60.0,0.5886,60g_20260429-175727.h5,135 deg soliton data\60g_20260429-175727.h5,92.76924197189251,1532.5339861028253,2e-07
